,SPY,EFA,VNQ,HYG,DBC,TLT,TIP,LQD,GLD,UUP
SPY,1.0,0.8289324799545726,0.6625261223301416,0.6568501573978568,0.2874147459565923,-0.2492850511108097,-0.10316293006173186,0.07338178382136148,0.07242564293608116,-0.1646698971125223
EFA,0.8289324799545726,1.0,0.5797268969340303,0.628759917599274,0.3559308107347095,-0.222776020873823,-0.05002271728878416,0.09625343162614926,0.20311971654419037,-0.42589452905393366
VNQ,0.6625261223301416,0.5797268969340303,1.0,0.4875553648525887,0.12737640097290917,-0.029281629514223355,0.02217721359370446,0.17937702486870807,0.08238947964707166,-0.1428446711950614
HYG,0.6568501573978568,0.628759917599274,0.4875553648525887,1.0,0.28957626797262664,-0.014642760876858148,0.13767371810266166,0.3317983189862353,0.12089335971598776,-0.242960638538588
DBC,0.2874147459565923,0.3559308107347095,0.12737640097290917,0.28957626797262664,1.0,-0.19576967176487792,0.06481285000404015,-0.04876729628888655,0.35489007745780365,-0.29111853744554195
TLT,-0.2492850511108097,-0.222776020873823,-0.029281629514223355,-0.014642760876858148,-0.19576967176487792,1.0,0.7544372776999759,0.8042453067908619,0.1803785474079825,-0.11152705872588485
TIP,-0.10316293006173186,-0.05002271728878416,0.02217721359370446,0.13767371810266166,0.06481285000404015,0.7544372776999759,1.0,0.7383812330599094,0.2878394972277123,-0.25548337739759536
LQD,0.07338178382136148,0.09625343162614926,0.17937702486870807,0.3317983189862353,-0.04876729628888655,0.8042453067908619,0.7383812330599094,1.0,0.2255824753646627,-0.24523494190237846
GLD,0.07242564293608116,0.20311971654419037,0.08238947964707166,0.12089335971598776,0.35489007745780365,0.1803785474079825,0.2878394972277123,0.2255824753646627,1.0,-0.4519924327516846
UUP,-0.1646698971125223,-0.42589452905393366,-0.1428446711950614,-0.242960638538588,-0.29111853744554195,-0.11152705872588485,-0.25548337739759536,-0.24523494190237846,-0.4519924327516846,1.0
