,PC1,PC2,PC3,PC4
SPY,0.4692779632705442,-0.13023785331193916,-0.16075641215981631,-0.022227744208614116
EFA,0.4818764390940933,-0.07768084090313646,-0.014924954856264418,-0.1680271743111032
VNQ,0.40573749510994267,-0.0772772640425865,-0.19812228758016562,-0.21109811495410866
HYG,0.41485799130769785,0.04137524461488326,-0.2551729841490046,0.17096512525908905
DBC,0.30400518111110775,-0.0038728411327902737,0.405429549953066,0.6811385289337387
TLT,-0.11983209103774256,0.560589129914905,-0.18064170308757235,-0.08909787859005591
TIP,0.018923981279269975,0.5638100020781156,-0.05803426165859648,0.13558796897997932
LQD,0.18421043562022532,0.46592803396601346,-0.3248966241481987,0.10701523271226233
GLD,0.13433963147717884,0.27680431256992294,0.58949934564223,0.0629446655344653
UUP,-0.22743263687418996,-0.20845539547628494,-0.4648968850242386,0.6259351340492885
